sent_thresh,vol_thresh,min_docs,slippage_bps,trades,sharpe_ann,max_drawdown,total_return
0.1,1.0,20,2,5,2.3408966553289585,-0.014864666939356841,0.009019735781219618
0.1,1.0,20,5,5,2.045300085911271,-0.015164666939356808,0.007812016008375444
0.1,1.5,5,0,3,3.9287928513236183,-0.0007854088489397393,0.013076775566156051
0.1,1.5,5,2,3,3.7543400301509364,-0.0009854088489396062,0.01247157833093171
0.1,1.5,5,5,3,3.4926607983919102,-0.0012854088489395732,0.011564234399954465
0.1,1.5,10,0,3,3.9287928513236183,-0.0007854088489397393,0.013076775566156051
0.1,1.5,10,2,3,3.7543400301509364,-0.0009854088489396062,0.01247157833093171
0.1,1.5,10,5,3,3.4926607983919102,-0.0012854088489395732,0.011564234399954465
0.1,1.5,20,0,3,3.9287928513236183,-0.0007854088489397393,0.013076775566156051
0.1,1.5,20,2,3,3.7543400301509364,-0.0009854088489396062,0.01247157833093171
0.1,1.5,20,5,3,3.4926607983919102,-0.0012854088489395732,0.011564234399954465
0.1,2.0,5,0,0,0.0,0.0,0.0
0.1,2.0,5,2,0,0.0,0.0,0.0
0.1,2.0,5,5,0,0.0,0.0,0.0
0.1,2.0,10,0,0,0.0,0.0,0.0
0.1,2.0,10,2,0,0.0,0.0,0.0
0.1,2.0,10,5,0,0.0,0.0,0.0
0.1,2.0,20,0,0,0.0,0.0,0.0
0.1,2.0,20,2,0,0.0,0.0,0.0
0.1,2.0,20,5,0,0.0,0.0,0.0
